,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NDVI,NDRE,TGI,VARI
82,2019_NYH2_plot_83,PHW65_MoG_0350/PHT69,83,1,,1,18,2,0.7850926833878762,0.49264310665017164,0.024646411285944383,0.33186813186813185
83,2019_NYH2_plot_84,PHW65_MoG_0224/PHT69,84,1,,1,17,2,0.7895894409179619,0.49806903279488135,0.02477101754539936,0.33066374571519713
84,2019_NYH2_plot_85,PHW65_MoG_0522/PHT69,85,1,,1,16,2,0.7786105564941381,0.4783843402795945,0.02549700900645456,0.3420632201464639
85,2019_NYH2_plot_86,PHW65_MoG_0651/PHT69,86,1,,1,15,2,0.7930425996468079,0.4911132076851628,0.02722706628343243,0.35892102573103957
86,2019_NYH2_plot_87,PHW65_MoG_0009/PHT69,87,1,,1,14,2,0.8152279642700536,0.5071311871325894,0.028593014274616645,0.35330666720087966
87,2019_NYH2_plot_88,PHW65_MoG_0542/PHT69,88,1,,1,13,2,0.7705336081008021,0.481180847514744,0.024269572540805837,0.33233789197542846
88,2019_NYH2_plot_89,PHW65_MoG_0199/PHT69,89,1,,1,12,2,0.7534471671777769,0.45795928333172997,0.026206154363733844,0.3531429201525961
89,2019_NYH2_plot_90,PHW65_MoG_0340/PHT69,90,1,,1,11,2,0.7901020701512177,0.48258180154970204,0.027724235627169126,0.36060203555212
90,2019_NYH2_plot_91,PHW65_MoG_0311/PHT69,91,1,,1,10,2,0.7609033571251357,0.46083905343619674,0.027144525775765215,0.3585231642365723
91,2019_NYH2_plot_92,PHW65_MoG_0063/PHT69,92,1,,1,9,2,0.7807164853120735,0.4597930358040652,0.02901047839007398,0.3376815790418732
92,2019_NYH2_plot_93,PHW65_MoG_0062/PHT69,93,1,,1,8,2,0.7980297079667376,0.47626203725113264,0.028397061495817447,0.3573826879617081
93,2019_NYH2_plot_94,PHW65_MoG_0061/PHT69,94,1,,1,7,2,0.768573361913729,0.4680185594501167,0.024588913076866573,0.328552015652441
94,2019_NYH2_plot_95,PHW65_MoG_0118/PHT69,95,1,,1,6,2,0.8071776466997055,0.48796112996480645,0.02832667506105006,0.3640665400775695
95,2019_NYH2_plot_96,PHW65_MoG_0554/PHT69,96,1,,1,5,2,0.8145016914176797,0.4908581307598356,0.027249307596105322,0.3438485335889728
96,2019_NYH2_plot_97,PHW65_MoG_0192/PHT69,97,1,,1,4,2,0.7826072867387566,0.46986474847018544,0.029222546459837198,0.38513836544860963
97,2019_NYH2_plot_98,PHW65_MoG_0629/PHT69,98,1,,1,3,2,0.7592378747040089,0.45835073133491194,0.02509374105135125,0.32962127208786707
98,2019_NYH2_plot_99,PHW65_MoG_0332/PHT69,99,1,,1,2,2,0.7181470861089967,0.4155370764493787,0.02444811513679583,0.3158311406506768
99,2019_NYH2_plot_100,PHW65_MoG_0410/PHT69,100,1,,1,1,2,0.7435482246724759,0.4169978897363324,0.027356236248265123,0.31559721699485177
100,2019_NYH2_plot_101,B37/MO17,101,1,,1,1,3,0.7502296198656204,0.4197003324326316,0.02732054123115404,0.33792280519357776
101,2019_NYH2_plot_102,PHW65_MoG_0071/PHT69,102,1,,1,2,3,0.7875614274631323,0.46724388088233887,0.02685896226335483,0.32684636819178364
102,2019_NYH2_plot_103,PHW65_MoG_0029/PHT69,103,1,,1,3,3,0.7533172095912074,0.4726052220446323,0.02352149391590338,0.3482665289453801
103,2019_NYH2_plot_104,PHW65_MoG_0022/PHT69,104,1,,1,4,3,0.7796553929866785,0.4727770361006423,0.02657674051745623,0.35684564245461187
104,2019_NYH2_plot_105,PHW65_MoG_0622/PHT69,105,1,,1,5,3,0.8119880529034269,0.5031101494624763,0.025848611225972616,0.3419835578336577
105,2019_NYH2_plot_106,PHW65_MoG_0194/PHT69,106,1,,1,6,3,0.8414954011329376,0.5244860908814218,0.027469521007840773,0.3575355990960353
106,2019_NYH2_plot_107,PHG39/PHN82,107,1,,1,7,3,0.7969510905735889,0.5061455641400617,0.024411037953608054,0.3617900810000467
107,2019_NYH2_plot_108,PHW65_MoG_0384/PHT69,108,1,,1,8,3,0.7183551307648989,0.4470666997467796,0.023743288196981946,0.36047275306989635
108,2019_NYH2_plot_109,PHW65_MoG_0203/PHT69,109,1,,1,9,3,0.7377466029593199,0.44857780830749655,0.02282626921023481,0.32730791452953945
109,2019_NYH2_plot_110,PHW65_MoG_0315/PHT69,110,1,,1,10,3,0.793770137096815,0.49756911802680504,0.02662619528630894,0.37474468397521693
110,2019_NYH2_plot_111,PHW65_MoG_0262/PHT69,111,1,,1,11,3,0.7935703062104537,0.49449097976205947,0.0290940369720895,0.3802794144369939
111,2019_NYH2_plot_112,PHW65_MoG_0327/PHT69,112,1,,1,12,3,0.7890004399195576,0.49127433024491846,0.025670870591826475,0.357622616354234
112,2019_NYH2_plot_113,PHW65_MoG_0117/PHT69,113,1,,1,13,3,0.8310695396857277,0.5200917241771181,0.0291560396803831,0.3759752866802475
113,2019_NYH2_plot_114,PHW65_MoG_0426/PHT69,114,1,,1,14,3,0.8067504490728066,0.49839046073645715,0.028158445351122625,0.35386213743074707
114,2019_NYH2_plot_115,B37/OH43,115,1,,1,15,3,0.7742363304028179,0.46461738742494385,0.03034460026227804,0.3889375151546861
115,2019_NYH2_plot_116,PHW65_MoG_0213/PHT69,116,1,,1,16,3,0.7039189244687633,0.4446797558147581,0.02155312480485265,0.34533297552803005
116,2019_NYH2_plot_117,PHW65_MoG_0560/PHT69,117,1,,1,17,3,0.7935350882670803,0.5130589371719766,0.02293103190261845,0.3547842113346644
117,2019_NYH2_plot_118,PHW65_MoG_0306/PHT69,118,1,,1,18,3,0.803895577110137,0.5064324504656251,0.02781790185445538,0.3746537699233138
118,2019_NYH2_plot_119,PHW65_MoG_0012/PHT69,119,1,,1,19,3,0.7746407179059613,0.4915891562489627,0.02595285071248825,0.359698408385246
119,2019_NYH2_plot_120,PHW52/PHM49,120,1,,1,20,3,0.5651050940561001,0.34183244697758597,0.015540590367498676,0.3692695877306536
120,2019_NYH2_plot_121,PHW65_MoG_0392/PHT69,121,1,,1,21,3,0.7583082364515792,0.4739742553849784,0.023278182518324617,0.3524253270385234
121,2019_NYH2_plot_122,PHW65_MoG_0420/PHT69,122,1,,1,22,3,0.7989472872900918,0.511393342233459,0.02446625856608962,0.3473165446134268
122,2019_NYH2_plot_123,PHW65_MoG_0675/PHT69,123,1,,1,23,3,0.7857034277860572,0.47895142793007944,0.026657744037562804,0.34624672926009126
123,2019_NYH2_plot_124,PHW65_MoG_0354/PHT69,124,1,,1,24,3,0.7461004566518312,0.45697306839988455,0.023833748803799487,0.3480850383937467
124,2019_NYH2_plot_125,PHW65_MoG_0424/PHT69,125,1,,1,25,3,0.7886790627076298,0.4793704426940489,0.027877559700321183,0.34382659269773386
125,2019_NYH2_plot_126,PHW65_MoG_0517/PHT69,126,1,,1,26,3,0.6694917533191224,0.4084190012618825,0.01908668058506793,0.3226617339042466
126,2019_NYH2_plot_127,F42/MO17,127,1,,1,27,3,0.791399733221266,0.48844339503224465,0.023446695729908755,0.35451090659200013
127,2019_NYH2_plot_128,PHW65_MoG_0297/PHT69,128,1,,1,28,3,0.8206600201665409,0.5134195419568668,0.026238212256181847,0.34734329195408437
128,2019_NYH2_plot_129,PHW65_MoG_0329/PHT69,129,1,,1,29,3,0.8184832318145173,0.5094721077826592,0.028807870366463515,0.3858708536638194
