plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2019_NYH2_plot_258,PHN11_PHW65_0118/PHT69,258,1,,1,43,6
2019_NYH2_plot_259,PHN11_PHW65_0140/PHT69,259,1,,1,42,6
2019_NYH2_plot_260,PHN11_PHW65_0451/PHT69,260,1,,1,41,6
2019_NYH2_plot_261,PHN11_PHW65_0221/PHT69,261,1,,1,40,6
2019_NYH2_plot_262,PHW65/PHT69,262,1,,1,39,6
2019_NYH2_plot_263,PHN11_PHW65_0360/PHT69,263,1,,1,38,6
2019_NYH2_plot_264,PHN11_PHW65_0063/PHT69,264,1,,1,37,6
2019_NYH2_plot_265,PHN11_PHW65_0422/PHT69,265,1,,1,36,6
2019_NYH2_plot_266,PHN11_PHW65_0149/PHT69,266,1,,1,35,6
2019_NYH2_plot_267,PHN11_PHW65_0080/PHT69,267,1,,1,34,6
2019_NYH2_plot_268,PHN11_PHW65_0303/PHT69,268,1,,1,33,6
2019_NYH2_plot_269,PHN11_PHW65_0125/PHT69,269,1,,1,32,6
2019_NYH2_plot_270,CG44/CGR01,270,1,,1,31,6
2019_NYH2_plot_271,PHN11_PHW65_0344/PHT69,271,1,,1,30,6
2019_NYH2_plot_272,PHN11_PHW65_0086/PHT69,272,1,,1,29,6
2019_NYH2_plot_273,PHN11_PHW65_0421/PHT69,273,1,,1,28,6
2019_NYH2_plot_274,PHN11_PHW65_0639/PHT69,274,1,,1,27,6
2019_NYH2_plot_275,PHN11_PHW65_0470/PHT69,275,1,,1,26,6
2019_NYH2_plot_276,PHN11_PHW65_0266/PHT69,276,1,,1,25,6
2019_NYH2_plot_277,PHN11_PHW65_0276/PHT69,277,1,,1,24,6
2019_NYH2_plot_278,PHN11_PHW65_0432/PHT69,278,1,,1,23,6
2019_NYH2_plot_279,PHN11_PHW65_0398/PHT69,279,1,,1,22,6
2019_NYH2_plot_280,PHN11_PHW65_0418/PHT69,280,1,,1,21,6
2019_NYH2_plot_281,PHN11_PHW65_0110/PHT69,281,1,,1,20,6
2019_NYH2_plot_282,PHN11_PHW65_0223/PHT69,282,1,,1,19,6
2019_NYH2_plot_283,PHN11_PHW65_0022/PHT69,283,1,,1,18,6
2019_NYH2_plot_284,PHN11_PHW65_0346/PHT69,284,1,,1,17,6
2019_NYH2_plot_285,PHN11_PHW65_0279/PHT69,285,1,,1,16,6
2019_NYH2_plot_286,PHN11_PHW65_0312/PHT69,286,1,,1,15,6
2019_NYH2_plot_287,PHN11_PHW65_0464/PHT69,287,1,,1,14,6
2019_NYH2_plot_288,PHN11_PHW65_0604/PHT69,288,1,,1,13,6
2019_NYH2_plot_289,PHN11_PHW65_0023/PHT69,289,1,,1,12,6
2019_NYH2_plot_290,PHN11_PHW65_0032/PHT69,290,1,,1,11,6
